Area,Month,Rainfall
Chamba,1961-11-1,11.649
Chamba,1961-12-1,34.866
Chamba,1962-1-1,0.623
Chamba,1962-2-1,46.684
Chamba,1962-3-1,109.768
Chamba,1962-4-1,9.449
Chamba,1962-5-1,26.892
Chamba,1962-6-1,13.01
Chamba,1962-7-1,91.676
Chamba,1962-8-1,90.402
Chamba,1962-9-1,82.052
Chamba,1962-10-1,0.674
Chamba,1962-11-1,2.999
Chamba,1962-12-1,35.201
Chamba,1963-1-1,40.665
Chamba,1963-2-1,24.025
Chamba,1963-3-1,19.195
Chamba,1963-4-1,33.507
Chamba,1963-5-1,22.003
Chamba,1963-6-1,122.329
Chamba,1963-7-1,290.686
Chamba,1963-8-1,233.672
Chamba,1963-9-1,96.864
Chamba,1963-10-1,0.049
Chamba,1963-11-1,3.213
Chamba,1963-12-1,16.038
Chamba,1964-1-1,15.397
Chamba,1964-2-1,45.294
Chamba,1964-3-1,31.611
Chamba,1964-4-1,64.214
Chamba,1964-5-1,20.545
Chamba,1964-6-1,5.93
Chamba,1964-7-1,225.59
Chamba,1964-8-1,149.603
Chamba,1964-9-1,8.157
Chamba,1964-10-1,26.091
Chamba,1964-11-1,11.236
Chamba,1964-12-1,0.2
Chamba,1965-1-1,3.714
Chamba,1965-2-1,77.412
Chamba,1965-3-1,68.857
Chamba,1965-4-1,37.091
Chamba,1965-5-1,38.283
Chamba,1965-6-1,125.067
Chamba,1965-7-1,144.051
Chamba,1965-8-1,158.405
Chamba,1965-9-1,341.663
Chamba,1965-10-1,30.476
Chamba,1965-11-1,25.167
Chamba,1965-12-1,1.163
Chamba,1966-1-1,2.113
Chamba,1966-2-1,53.427
Chamba,1966-3-1,65.829
Chamba,1966-4-1,12.542
Chamba,1966-5-1,40.295
Chamba,1966-6-1,6.932
Chamba,1966-7-1,96.858
Chamba,1966-8-1,295.112
Chamba,1966-9-1,43.813
Chamba,1966-10-1,6.873
Chamba,1966-11-1,3.204
Chamba,1966-12-1,67.393
Chamba,1967-1-1,34.12
Chamba,1967-2-1,42.82
Chamba,1967-3-1,15.505
Chamba,1967-4-1,15.267
Chamba,1967-5-1,8.278
Chamba,1967-6-1,14.233
Chamba,1967-7-1,187.297
Chamba,1967-8-1,247.525
Chamba,1967-9-1,1.223
Chamba,1967-10-1,15.431
Chamba,1967-11-1,0.671
Chamba,1967-12-1,18.454
Chamba,1968-1-1,16.671
Chamba,1968-2-1,35.657
Chamba,1968-3-1,43.102
Chamba,1968-4-1,102.304
Chamba,1968-5-1,39.096
Chamba,1968-6-1,18.369
Chamba,1968-7-1,190.435
Chamba,1968-8-1,171.072
Chamba,1968-9-1,162.039
Chamba,1968-10-1,16.171
Chamba,1968-11-1,0
Chamba,1968-12-1,0.2
Chamba,1969-1-1,36.29
Chamba,1969-2-1,34.953
